"Date","Daily Total BTC Inflow(USD)","Cumulative Total Net Inflow(USD)","Total Value Traded(USD)","Total Net Assets(USD)"
"2025/7/3","601,937,786.79","49,641,520,208.71","2,508,626,462","137,596,736,310.74"
"2025/7/2","407,778,961.96","49,039,582,421.92","5,221,104,179.27","136,679,368,309.09"
"2025/7/1","-342,251,387.27","48,631,803,459.97","2,785,058,735.19","131,295,122,511.67"
"2025/6/30","102,139,223.57","48,974,054,847.23","2,638,989,781.48","134,111,134,008.58"
"2025/6/27","501,271,088.19","48,871,915,623.67","2,695,746,942.36","133,170,224,379.15"
"2025/6/26","228,150,439.23","48,370,644,535.48","2,177,522,368.62","133,531,931,223.57"
"2025/6/25","547,720,695.21","48,142,494,096.25","3,175,028,780.58","133,560,968,435.13"
"2025/6/24","588,547,154.53","47,594,773,401.05","2,995,064,579.19","130,282,904,544.4"
"2025/6/23","350,429,240.42","47,006,226,246.51","4,436,049,739.8","126,608,323,093.35"
"2025/6/20","6,365,769.25","46,655,797,006.1","2,715,306,275.6","126,537,063,116.91"
"2025/6/18","389,567,193.85","46,649,431,236.85","2,941,050,691.76","127,425,012,170.93"
"2025/6/17","216,483,836.97","46,259,864,043","3,999,756,484.84","128,180,042,489.01"
"2025/6/16","412,201,147.28","46,043,380,206.03","3,119,622,697.02","132,504,330,333.27"
"2025/6/13","322,602,946.3","45,631,179,058.76","3,120,533,098","127,870,225,740.02"
"2025/6/12","86,311,350.9","45,308,576,112.46","2,847,623,589.48","130,263,218,988.01"
"2025/6/11","164,565,924.85","45,222,264,761.56","2,407,591,613.53","131,845,014,214.54"
"2025/6/10","431,120,840.62","45,057,698,836.71","2,626,145,455.79","132,833,153,801.31"
"2025/6/9","386,274,141.79","44,626,577,996.09","3,405,117,414.75","131,061,405,147.39"
"2025/6/6","-47,822,507.15","44,240,303,854.3","2,673,089,952.71","125,582,273,018.22"
"2025/6/5","-278,435,958.87","44,288,126,361.45","4,472,029,295.79","122,977,906,593.13"
"2025/6/4","86,921,550.95","44,566,562,320.32","2,381,591,727.3","126,665,427,567.16"
"2025/6/3","378,043,221.39","44,479,640,769.37","2,866,083,905.7","128,129,714,005.28"
"2025/6/2","-267,520,349.93","44,101,597,547.99","2,333,241,052","125,472,400,684.26"
"2025/5/30","-616,218,414.2","44,369,117,897.92","3,390,344,529.51","126,151,609,650.02"
"2025/5/29","-358,653,461.62","44,985,336,312.12","5,393,609,574.81","128,126,617,785.73"
"2025/5/28","432,618,888.28","45,343,989,773.73","3,501,338,224.33","130,290,489,165.21"
"2025/5/27","384,852,936.96","44,911,370,885.45","3,894,634,912.93","132,894,503,404.93"
"2025/5/23","211,737,424.35","44,526,517,948.49","4,763,750,780.23","131,391,891,333.26"
"2025/5/22","934,742,459.72","44,314,780,524.15","5,385,630,240.8","134,295,403,454.36"
"2025/5/21","608,993,678.8","43,380,038,064.43","7,641,677,936.34","129,015,028,335.88"
"2025/5/20","329,022,102.06","42,771,044,385.63","3,587,558,311.38","126,795,333,250.28"
"2025/5/19","667,438,126.07","42,442,022,283.57","3,625,102,116.77","124,973,229,522.01"
"2025/5/16","260,266,134.59","41,774,584,157.5","2,697,220,073.8","122,665,639,298.54"
"2025/5/15","114,958,483.23","41,514,318,022.91","2,577,034,342.87","121,469,162,844.6"
"2025/5/14","319,558,528.8","41,399,359,539.68","2,740,518,531.09","121,844,538,030.38"
