Date_Time_UTC,0.00001,0.0001,0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000,0.00001_BTC_total,0.0001_BTC_total,0.001_BTC_total,0.01_BTC_total,0.1_BTC_total,1_BTC_total,10_BTC_total,100_BTC_total,1000_BTC_total,10000_BTC_total,100000_BTC_total,1000000_BTC_total,USD_0.00001_BTC,USD_0.0001_BTC,USD_0.001_BTC,USD_0.01_BTC,USD_0.1_BTC,USD_1_BTC,USD_10_BTC,USD_100_BTC,USD_1000_BTC,USD_10000_BTC,USD_100000_BTC,USD_1000000_BTC
2021-05-11 00:00:00 UTC+0000,,,,,,,,,,,,,,,226748,,,752146,1701818,4254152,3953978,5126008,2234305,455390,,,,,,,,,,,,
2021-05-12 00:00:00 UTC+0000,,,,,,,,,,,,,,,226673,,,752061,1698474,4252853,3943466,5124619,2206130,501390,,,,,,,,,,,,
2021-05-13 00:00:00 UTC+0000,,,,,,,,,,,,,,,226440,,,752436,1697834,4254920,3951458,5095570,2226654,501390,,,,,,,,,,,,
2021-05-14 00:00:00 UTC+0000,,,,,,,,,,,,,,,226680,,,752563,1698237,4254502,3953986,5093500,2226638,501390,,,,,,,,,,,,
2021-05-15 00:00:00 UTC+0000,,,,,,,,,,,,,,,226389,,,752152,1696811,4254773,3947364,5095706,2233730,501390,,,,,,,,,,,,
2021-05-16 00:00:00 UTC+0000,,,,,,,,,,,,,,,226018,,,752247,1697758,4255733,3947599,5092326,2236025,501390,,,,,,,,,,,,
2021-05-17 00:00:00 UTC+0000,,,,,,,,,,,,,,,226359,,,752321,1695938,4257373,3953854,5070903,2251776,501390,,,,,,,,,,,,
2021-05-18 00:00:00 UTC+0000,,,,,,,,,,,,,,,226974,,,753197,1696230,4258219,3960724,5080103,2133063,602034,,,,,,,,,,,,
2021-05-19 00:00:00 UTC+0000,,,,,,,,,,,,,,,227945,,,753346,1697599,4257840,3967163,5069976,2127596,609837,,,,,,,,,,,,
2021-05-20 00:00:00 UTC+0000,,,,,,,,,,,,,,,228724,,,752523,1694019,4248823,3953875,5082133,2114111,637837,,,,,,,,,,,,
2021-05-21 00:00:00 UTC+0000,,,,,,,,,,,,,,,229518,,,752693,1696007,4247691,3937832,5084895,2124829,639217,,,,,,,,,,,,
2021-05-22 00:00:00 UTC+0000,,,,,,,,,,,,,,,229237,,,752877,1693942,4246697,3928202,5095391,2125817,641243,,,,,,,,,,,,
2021-05-23 00:00:00 UTC+0000,,,,,,,,,,,,,,,228584,,,752463,1688016,4239712,3929969,5098151,2146044,631243,,,,,,,,,,,,
2021-05-24 00:00:00 UTC+0000,,,,,,,,,,,,,,,228661,,,752860,1688982,4240707,3934392,5106692,2141413,621243,,,,,,,,,,,,
2021-05-25 00:00:00 UTC+0000,,,,,,,,,,,,,,,228901,,,754155,1689217,4240319,3931200,5134771,2114925,622231,,,,,,,,,,,,
2021-05-26 00:00:00 UTC+0000,,,,,,,,,,,,,,,229082,,,754283,1688852,4241565,3937147,5111056,2132298,622231,,,,,,,,,,,,
2021-05-27 00:00:00 UTC+0000,,,,,,,,,,,,,,,229207,,,754817,1690539,4245741,3933588,5109237,2131732,622370,,,,,,,,,,,,
2021-05-28 00:00:00 UTC+0000,,,,,,,,,,,,,,,229439,,,755314,1689814,4243336,3932985,5107653,2137041,622394,,,,,,,,,,,,
2021-05-29 00:00:00 UTC+0000,,,,,,,,,,,,,,,229045,,,754121,1689720,4242696,3926133,5110365,2144213,622394,,,,,,,,,,,,
2021-05-30 00:00:00 UTC+0000,,,,,,,,,,,,,,,228226,,,754437,1689689,4240589,3934860,5116301,2109086,646394,,,,,,,,,,,,
2021-05-31 00:00:00 UTC+0000,,,,,,,,,,,,,,,227865,,,754625,1689744,4239555,3939130,5124775,2098358,646394,,,,,,,,,,,,
2021-06-01 00:00:00 UTC+0000,,,,,,,,,,,,,,,226752,,,754727,1690619,4242932,3943215,5134675,2042025,686394,,,,,,,,,,,,
2021-06-02 00:00:00 UTC+0000,,,,,,,,,,,,,,,226239,,,753853,1690165,4243261,3945974,5133372,2041261,688277,,,,,,,,,,,,
2021-06-03 00:00:00 UTC+0000,,,,,,,,,,,,,,,225954,,,751234,1689003,4241243,3941101,5131868,2054634,688277,,,,,,,,,,,,
2021-06-04 00:00:00 UTC+0000,,,,,,,,,,,,,,,226136,,,748459,1688250,4239749,3949647,5131981,2051583,688277,,,,,,,,,,,,
2021-06-05 00:00:00 UTC+0000,,,,,,,,,,,,,,,226266,,,744672,1687755,4238968,3948960,5127928,2062107,688277,,,,,,,,,,,,
